id;text;ai_opinion;Alex;cleaned_text
UgzWVRZ_47oUAr11vk54AaABAg;The most deserved win at the whole tournament. Absolute domination;positive;positive;deserved win whole tournament absolute domination
Ugzyu5tQ4xFCLNnQk_Z4AaABAg;Spain had more goals disallowed than Argentina even attempted ;neutral;positive;spain goals disallowed argentina even attempted
Ugw14A8gvyoh7uu-MLB4AaABAg;That goalkeeper contributed more than the whole team.;neutral;positive;goalkeeper contributed whole team
Ugyj66MjgsSwGj2H9PB4AaABAg;Fun fact: Argentina had no shots on goal for the entire 120 minutes, implying that Spain could have won even without the goalkeeper;positive;negative;fun fact argentina shots goal entire 120 minutes implying spain could even without goalkeeper
UgyQEErcOLPdwEGxXrx4AaABAg;Argentina did not deserve to play in the World Cup final because they relied on excessive physicality, dirty play, and gamesmanship rather than fair competition.;negative;negative;argentina deserve play world cup final relied excessive physicality dirty play gamesmanship rather fair competition
UgyOrqXa36oB98MHBCp4AaABAg;Spain overwhelmed Argentina in both performance and manners.;positive;positive;spain overwhelmed argentina performance manners
UgweWBuU-mK920tSADR4AaABAg;"Not a single attack of Argentina in highlights!

This shows the absolute dominance of Spain. Well deserved 🎉";positive;positive;single attack argentina highlights shows absolute dominance spain well deserved
Ugxy8J51BiBiYZ581rp4AaABAg;As Turks, we were rooting for Spain and praying for their success. We are ecstatic that Spain won this match. Congratulations, Spain! You truly earned it;positive;positive;turks rooting spain praying success ecstatic spain match congratulations spain truly earned
UgxE4HZnM-0LvqYKjLh4AaABAg;The game was basically Spain vs Martinez ft. Argentina;neutral;positive;game basically spain vs martinez ft argentina
Ugzop-1EPlPCFEMS6vR4AaABAg;Argentina played a really dirty game. Congratulations to Spain on winning the title!;positive;positive;argentina played really dirty game congratulations spain winning title
Ugw0hjaQLFz8nZON-NN4AaABAg;Argentina had a messi. Spain had a team.;neutral;positive;argentina messi spain team
UgwRVgOt3Zrbfhdolyx4AaABAg;Argentina has to be one of the most hated teams in football history 😂;negative;negative;argentina one hated teams football history
UgzRkj78yI_5bez_9HR4AaABAg;Argentina becomes the first team to have more fights than shots on target 🏆;negative;negative;argentina becomes first team fights shots target
