comment_id,topic,video_id,text,author,like_count,published_at
UgxEMilo7jWtVU2oamR4AaABAg,Climate,i94at4xQJw0,"The real challenges,  denial!  The term you are looking for is **normalcy bias** (sometimes called the ostrich effect, though normalcy bias is the precise psychological term for disaster response).

It is a cognitive bias that causes people to underestimate both the likelihood of a disaster and its potential effects.",@deadwalking100,0,2026-07-16 01:51:49+00:00
UgwW-3g1m68UjhrstgR4AaABAg,Climate,i94at4xQJw0,Open the Greenland Voids!!!! 😮,@ChrisPatrick-q6k,0,2026-07-08 05:47:17+00:00
UgxVJtLA45l3JyJZDvd4AaABAg,Climate,_b_sGbjSVZQ,"The most concerning thing about this is the fact that i've heard some scientists have said that once this super el nino comes, that will be the new normal, i dont really think this thing is going away, this might be the last year of normal weather and normal temperatures and i can only blame our stupidity for this, now we are going to be stuck in this era for a long time and possibly forever, my god what have we done that led us to this?!",@kinzua_king2010,3,2026-07-06 23:55:33+00:00
UgxfkxbS-ykpFN9ytgN4AaABAg,Climate,XJIDvwwPb1Q,"If you think the global heating situation is ever going to get better, think again.  Every city in the world is dealing with some aspect if this: EVERY ONE.  

More than fifty years ago, it was time to wake up, but somehow the world is still asleep.",@wildmano1965,0,2026-07-03 18:51:17+00:00
Ugz-JYZZs_ek5Pc81jp4AaABAg,Climate,_b_sGbjSVZQ,aight fellas i have this gutfeeling that the 20s haven't been very great so far,@gergopal9827,4,2026-07-02 11:01:33+00:00
Ugw7ktfVTWrm0YUg9RZ4AaABAg,Climate,_b_sGbjSVZQ,"Man, earth still be here long after we die off.
Or, we are in a simulation. 
Who knows.",@mattrehu8154,3,2026-07-02 05:51:28+00:00
UgyLXbQsU5aoMQ31y4V4AaABAg,Climate,tRA2SfSk2Tc,"Thanks Neil , a voice of reason in a world not prepared to listen until it's to late .",@GarryJakes-gl9sw,6,2026-07-01 09:44:05+00:00
UgzgtrRaAVuux_q83dZ4AaABAg,Climate,i94at4xQJw0,I blame climate change deniers for this!,@AmaraChan-e9k,1,2026-07-01 02:43:46+00:00
UgyVTN1Vc_GpfUpqJWV4AaABAg,Climate,tRA2SfSk2Tc,I am 72. Weather in winter rarely includes snow or ice events compared to the 50s and 60s. It is astounding to hear our current U.S. leaders deny climate change.,@robinkennedy9536,46,2026-06-30 10:39:21+00:00
UgximVb496u_3E6urA14AaABAg,Climate,i94at4xQJw0,Noo stronger hurricanes for us Floridians,@TravarisPudd,0,2026-06-30 07:19:03+00:00
UgyKzGeJRJMZ_bEzbaZ4AaABAg,Climate,i94at4xQJw0,"Only paying a huge carbon tax can save us now.

At least that’s what the rich tell us while they fly around on private jets.",@ClimbnFish,2,2026-06-30 02:26:24+00:00
UgxbCZplmc-L1yqFiEt4AaABAg,Climate,_b_sGbjSVZQ,Here after the 2 week most intense heatwave Europe has ever faced....,@Biolo-G_KJ,260,2026-06-30 01:47:24+00:00
UgzBOnM0KG5w1C0Y0bh4AaABAg,Climate,_b_sGbjSVZQ,"I’m going to teleport myself into an alternate universe, this one is screwed. Good luck everybody",@pilotstu4411,22,2026-06-29 01:13:01+00:00
UgyrGxGkLsTgPJxC1ZF4AaABAg,Climate,_b_sGbjSVZQ,Well this aged well,@tickyiconic,133,2026-06-28 08:12:43+00:00
UgxgNivT7hy2jONG_tN4AaABAg,Climate,_b_sGbjSVZQ,Bruh were getting Super El Niño before GTA VI,@Derozzi707,239,2026-06-27 11:28:56+00:00
UgwvkV5cjS9tw6WG7Q54AaABAg,Climate,_b_sGbjSVZQ,El Niño: the final boss before GTA 6 drops,@wevibin6504,2,2026-06-25 03:28:48+00:00
UgyajEMvXTUt_J028v14AaABAg,Climate,i94at4xQJw0,Nothing will happen lol,@pavlekovacevic1676,0,2026-06-22 16:02:45+00:00
Ugx3C0HdKjUwmzXqTX14AaABAg,Climate,i94at4xQJw0,But the human influenced climate change is a myth….,@OttoVonBismarck1890,1,2026-06-22 10:25:22+00:00
Ugyg1Ao_WgR-HaVqmMV4AaABAg,Climate,_b_sGbjSVZQ,"Ah, that explains why its snowing in goddamn June",@arthursxngel,4,2026-06-22 04:17:35+00:00
UgxXfgKGrCFZe8cnZ3d4AaABAg,Climate,i94at4xQJw0,So cool. All we get is blizzards in New England. 😢,@USMC978,0,2026-06-21 20:04:43+00:00
UgzmUAEYWiX_XsNKlaR4AaABAg,Climate,i94at4xQJw0,"So in other words all our ""efforts"" to protect the planet arent working and since we wanna fa...we gonna fo",@MrCoreymmatthews,1,2026-06-20 23:11:37+00:00
Ugy34yfdoX0HH0kYliR4AaABAg,Climate,i94at4xQJw0,"Oh no, what will we do?
A weather cycle we have lived with since the stone age. 
But now we are supposed to fear this natural cycle.",@Jason_g_kennedy,7,2026-06-19 22:16:35+00:00
Ugyyq5l7LP2aqO5AYs94AaABAg,Climate,i94at4xQJw0,"Quick question, does El Niño also intensify hurricanes and tornadoes like it did in 2011 with the super outbreak?",@Leomar_Forever,2,2026-06-19 22:07:49+00:00
UgwFLmhoE9M3jM3-Ypl4AaABAg,Climate,i94at4xQJw0,doomsday is close,@dissolver5388,3,2026-06-19 17:35:35+00:00
Ugzxd9aBv_TN5bFkN-x4AaABAg,Climate,_b_sGbjSVZQ,"""Not our problem"" - the billionaires, and the first trillionaire",@me-hk4ic,383,2026-06-17 16:26:56+00:00
UgykpYWpz9HAWoqX6l54AaABAg,Climate,_b_sGbjSVZQ,"In Puerto Rico, the heat is already extreme. 2-3 baths a day, a 15 minute ride without a/c in the car has you sweating intensely, 2 fans running at the same time and it's still hot af! And it's not even June or July. Water might dry out and leave us for weeks without water (it happens every summer). We're fked.",@HIVOLTAGEZzz,6,2026-06-16 13:53:38+00:00
UgwpHRlL7ZgOwuwTWbJ4AaABAg,Climate,_b_sGbjSVZQ,"12:24 so model projections often overshoot what happens, and the models thought we'd hit super El Niño status by July.... except its mid June and the Super El Niño was confirmed today. Certainly a time for history books to be written about for a number of reasons",@tylerr472,19,2026-06-14 04:59:27+00:00
UgyNgySfZii65L1fZl54AaABAg,Climate,_b_sGbjSVZQ,"That ain't an el niño, that's an el hombre.",@g_ssyrat,57,2026-06-12 04:55:50+00:00
Ugwuw7eHrk8kgb2cNzl4AaABAg,Climate,_b_sGbjSVZQ,Mother Nature never tells us what’s going to happen tomorrow.,@fridaye66,2,2026-06-11 22:14:45+00:00
Ugw4SvvWzGhl1W-tjwd4AaABAg,Climate,_b_sGbjSVZQ,We're going from worse to the worst.,@kristenmgr,34,2026-06-11 17:38:45+00:00
UgzjeNsU2ND_ozYRNWF4AaABAg,Climate,_b_sGbjSVZQ,15:30 you can blame Trump and Netanyahu for that last one,@Frankoman64,13,2026-06-11 16:46:28+00:00
Ugx2FzagLzw5N4ooTCh4AaABAg,Climate,_b_sGbjSVZQ,COULD THE WORLD JUST CHILL THE F OUT. I JUST STARTED BECOMING AN ADULT.,@kilogram_,58,2026-06-11 13:14:17+00:00
UgwtpMfFbGs1QWpcYrJ4AaABAg,Climate,_b_sGbjSVZQ,Its crazy how many once in a life moments we've had.,@Jmoly602az,2,2026-06-11 05:15:29+00:00
