id,text,ai_opinion,Panagiotis,Athina,Final Opinion
Ugz_ZRkr0xrwMSNyGj94AaABAg,THE MOST UNPREDICTABLE WINNER EVER,positive,positive,neutral,positive
Ugz4MVMA9uw54hnIkQB4AaABAg,"It feels good to see a country win for the 1st time
Congratulations Bulgaria 🇧🇬",positive,positive,positive,positive
UgybRTHk7fT6-F96mGN4AaABAg,"It doesn’t feel like live performance, It looks like a music video… absolutely incredible.",positive,negative,positive,positive
UgxaIfokmeYfvW7nY254AaABAg,People forget this is actually a LIVE performance! The staging is absolutely insane!!,negative,positive,positive,positive
UgwtROvmsWceG9gbbnp4AaABAg,The fact she won both Jury and tele vote. Slay queen!,positive,neutral,positive,positive
UgysBGAsnu9eVaFM-eZ4AaABAg,"Finally a good use of dancers, they actually feel like performers here instead of just dancers jamming in the background.",positive,neutral,positive,positive
Ugyr1jS687Y-IJH3el14AaABAg,"After watching it for the 100th time I can say that I know why they won. They really presented something original and well done: very theatrical, the choreography, the gestures, the faces, the masks, the chairs, the lights, the lyrics, the message, the subtleties. Really fascinating! Congratulations!",positive,positive,positive,positive
UgxxqYJpEPXR4JYoejp4AaABAg,"This performance says ""I've already won, you just don't know it yet""",positive,positive,positive,positive
UgxPjEvCc-Kl0htVt4J4AaABAg,"The biggest dark horse in Eurovision history. Welcome Sofia 2027, and well done Bulgaria!! 🇧🇬",positive,positive,positive,positive
UgyjSRkMxfQqmqBCIP14AaABAg,"Credit to the dancers as well, they were amazing",positive,positive,positive,positive
Ugxe0IWVebkIS5L7RcR4AaABAg,"1st listen: meh
10th listen: its okay
20th listen: BANGARANGARAN!",positive,neutral,positive,positive
Ugz3eRtwINaTQwHELZ14AaABAg,"Admit it, you'd never have thought that this song would win",positive,,negative,positive
UgwLWovttaq9Gx9EqKB4AaABAg,The fact that Bulgaria left Eurovision for three years and came back victorious makes it 10 times crazier!!!,negative,,positive,negative
Ugy5P0bcr7FcvFRyOO54AaABAg,"I’m not the biggest fan of the song but you have to admit the staging, choreography, and her vocals being good despite her dancing was incredible. She is a natural performer. Congrats Bulgaria!",positive,,positive,positive
UgwoeJ8dNS06b09v7ox4AaABAg,"One of the bosses at the company I work for is Bulgarian and a huge Eurovision fan. She gave us a days holiday when they won. Thank you, Dara ❤️",positive,,positive,positive
UgzQGCwDHaPnoxfwiM14AaABAg,This doesn’t feel like a live performance… it feels like a cinematic experience. Bulgaria absolutely nailed it.,positive,,positive,positive
UgxbvxQDZO6QnC9c58V4AaABAg,"FINALLY! BALKANS WIN! Finally win a country without money and budget!!! Clear winner, congratulations to Bulgaria!",positive,,positive,positive
UgwuuzyI56FwZB1EHiR4AaABAg,Ive never cheered this much for Bulgaria to win anything.,positive,,positive,positive
UgyZ7xDeYv7iGqB82wR4AaABAg,"Hi dear people! 2 months after our diva DARA won Eurovision 🏆!!!! This was a crazy moment for my country Bulgaria 🇧🇬 and for me of course, because i'm a very big fan of Eurovision since 10 years!!! For the first time Bulgaria won something big competition in the World 🌎!!! I use this comment to say thank you to everyone for congrats my country and our queen winning Eurovision!!!  I love you all here!!!!❤❤❤ I invite everyone to come in Bulgaria 🇧🇬 for next year!!! I hope we Bulgarians to make best Eurovision ever!!!! Welcome all to Bulgaria 🇧🇬!!! Best wishes from me,Andi!!!❤❤❤",positive,,positive,positive
UgwjreByLjWvzaQ87uN4AaABAg,"That performance was incredible. It felt like watching a complete, professionally produced video song live.",positive,,positive,positive
Ugx4YnLjl4El8WB-TtJ4AaABAg,"When you think of it, she might be the one that relied the least on this huge stage. She shrank it down to a ""room"", like a random waiting room in a office building, worked in it, and just at the very end, she used a bit of the entire stage. She actually played with the camera and engaged directly with the audience, pulling us in that ""room"" and her song. Really, it gave a mid 00's MTV video feel, in the best way possible. Bravo Dara, congrats!",positive,,positive,positive
UgwfMqIVd6z622IUQqF4AaABAg,The fact that they were able to create a music video feel during a live performance is mind blowing.,positive,,positive,positive
Ugwcj6yJS1AznKrwuUx4AaABAg,This is a masterclass in how to win the Eurovision,positive,,positive,positive
UgxpOI8WRwLnoGd148d4AaABAg,"Loved how everyone underestimated her... 

That she is the right choice to represented Bulgaria.
That she might not qualify.
That she might not get into Top 10
That there is no chance to win.

And then she casually came, brought the arena roof down, took all that jury  and televote points, totally turned over the table (and chairs😅), took the trophy and fly back to Bulgaria, leaving everyone in complete shock!

Isn't that quite the journey and story of this year ESC

I am so happy with this win!
That's how Eurovision should be..unpredictable, enjoyable, charging with positive energy!",positive,,positive,positive
Ugx8_nSD6DmHCYQrEuB4AaABAg,The cinematography of this performance is just perfect. It balances the chaos of the song in just the right way. Well done.,positive,,positive,positive
UgyjkESqXd4khFODfgJ4AaABAg,"Win or lose, his mom is going to be so proud of him",positive,,positive,positive
Ugy82HzjcRxCtwwK31Z4AaABAg,"Akylas, the juries did you dirty… You managed to reach the top 6 in the televote and 10th place overall. And you know what? That’s okay.
Because we loved your song, we loved your personality, we loved your positive aura. Be proud of yourself, because we are very proud of you.❤❤",positive,,positive,positive
UgzGrcEi0c5w_qBk_xh4AaABAg,"From what I've noticed, I think he's the one who had the most fun out of all the contestants. He just exudes joy and relaxation.😂🎉",positive,,positive,positive
UgwNFELAbDs3_oIwj9J4AaABAg,Thank u so much for everything Europe ❤️ I love u,positive,,positive,positive
UgzLKygAyDRlP5QpobJ4AaABAg,"Some win, others become legends",positive,,positive,positive
Ugwyu1y2JnZmTM71IC14AaABAg,"He is a good person, you can see that.
Watch the video when Dara won the way he was dancing in the background without any jealousy, genuinely happy for someone else’s success.
Great things are still ahead of him.
Greetings from Serbia.❤️🇷🇸🇬🇷",positive,,positive,positive
UgzzEQNIZeHIUQZCkwR4AaABAg,"Dear Greece, we both lost so we can stop fighting now🥲 Let’s be friends again 🇫🇮🤝🇬🇷",negative,,positive,negative
UgwgAH6f8cFsgpwf7-54AaABAg,"My family cannot stop laughing during all the performance, they say he could perfectly be part of us Spaniards. It’s time for Greece’s victory after 21 years. Wishing the best of luck and sending lots of love from Spain, dear Greece 🇬🇷❤️🇪🇸 OPA ELLADA!!!",positive,,positive,positive
Ugz6pAOhSOY7pUhT1PR4AaABAg,12 points from all Europeans voters!!! 🎉🎉🎉,positive,,positive,positive
UgxIjDucWZu28FqNugp4AaABAg,#NAME?,neutral,,positive,neutral
UgybrbRbQT02sQ-Fjt14AaABAg,"This is a perfect Eurovision song. Catchy, sang in the artist’s native language, with a well-executed entertaining performance and a deep meaning hidden behind all the fun? 
I’m happy Akylas is top-10, but he deserved much more.",positive,,positive,positive
UgxJ4UDYfmbdPbKXPOJ4AaABAg,"*Just a few months ago, Akylas was performing as a street musician, chasing a dream with nothing but talent, perseverance, and belief in himself.*

*Today, Europe has the opportunity to crown him as a winner and send a powerful message to every young person across the continent: that even in the difficult times we live in, hard work, dedication, and self-confidence can still turn dreams into reality.*

Let Europe gather next year under the Greek sky, beside the sea, with unforgettable music, incredible culture, amazing cuisine, and the warmest welcome imaginable.

*This is bigger than a song.*
*This is a story of hope.*
*Bring Eurovision to Greece, bring it back to the Balkans!!* 🇬🇷",positive,positive,positive,positive
Ugz28PTlQpsLZuODffR4AaABAg,12 points for Greece from Poland 🇵🇱 my favorite🤩🥰,positive,positive,positive,positive
UgwT4yzqbmufiRMAzG94AaABAg,I was so happy that my country gave the brothers 12 points 🇷🇸🇬🇷,positive,positive,positive,positive
UgwgPMI2cdfCALrASfJ4AaABAg,12 points from Germany.  My winner,positive,positive,positive,positive
