id,text,ai_opinion,Panagiotis,cleaned_text
Ugz_ZRkr0xrwMSNyGj94AaABAg,THE MOST UNPREDICTABLE WINNER EVER,positive,positive,unpredictable winner ever
Ugz4MVMA9uw54hnIkQB4AaABAg,"It feels good to see a country win for the 1st time
Congratulations Bulgaria 🇧🇬",positive,positive,feels good see country win 1st time congratulations bulgaria
UgybRTHk7fT6-F96mGN4AaABAg,"It doesn’t feel like live performance, It looks like a music video… absolutely incredible.",positive,negative,doesnt feel like live performance looks like music video absolutely incredible
UgxaIfokmeYfvW7nY254AaABAg,People forget this is actually a LIVE performance! The staging is absolutely insane!!,negative,positive,people forget actually live performance staging absolutely insane
UgwtROvmsWceG9gbbnp4AaABAg,The fact she won both Jury and tele vote. Slay queen!,positive,neutral,fact jury tele vote slay queen
UgysBGAsnu9eVaFM-eZ4AaABAg,"Finally a good use of dancers, they actually feel like performers here instead of just dancers jamming in the background.",positive,neutral,finally good use dancers actually feel like performers instead dancers jamming background
Ugyr1jS687Y-IJH3el14AaABAg,"After watching it for the 100th time I can say that I know why they won. They really presented something original and well done: very theatrical, the choreography, the gestures, the faces, the masks, the chairs, the lights, the lyrics, the message, the subtleties. Really fascinating! Congratulations!",positive,positive,watching 100th time say know really presented something original well done theatrical choreography gestures faces masks chairs lights lyrics message subtleties really fascinating congratulations
UgxxqYJpEPXR4JYoejp4AaABAg,"This performance says ""I've already won, you just don't know it yet""",positive,positive,performance says ive already dont know yet
UgxPjEvCc-Kl0htVt4J4AaABAg,"The biggest dark horse in Eurovision history. Welcome Sofia 2027, and well done Bulgaria!! 🇧🇬",positive,positive,biggest dark horse eurovision history welcome sofia 2027 well done bulgaria
UgyjSRkMxfQqmqBCIP14AaABAg,"Credit to the dancers as well, they were amazing",positive,positive,credit dancers well amazing
Ugxe0IWVebkIS5L7RcR4AaABAg,"1st listen: meh
10th listen: its okay
20th listen: BANGARANGARAN!",positive,neutral,1st listen meh 10th listen okay 20th listen bangarangaran
Ugz3eRtwINaTQwHELZ14AaABAg,"Admit it, you'd never have thought that this song would win",positive,,admit youd never thought song would win
UgwLWovttaq9Gx9EqKB4AaABAg,The fact that Bulgaria left Eurovision for three years and came back victorious makes it 10 times crazier!!!,negative,,fact bulgaria left eurovision three years came back victorious makes 10 times crazier
Ugy5P0bcr7FcvFRyOO54AaABAg,"I’m not the biggest fan of the song but you have to admit the staging, choreography, and her vocals being good despite her dancing was incredible. She is a natural performer. Congrats Bulgaria!",positive,,im biggest fan song admit staging choreography vocals good despite dancing incredible natural performer congrats bulgaria
UgwoeJ8dNS06b09v7ox4AaABAg,"One of the bosses at the company I work for is Bulgarian and a huge Eurovision fan. She gave us a days holiday when they won. Thank you, Dara ❤️",positive,,one bosses company work bulgarian huge eurovision fan gave us days holiday thank dara
UgzQGCwDHaPnoxfwiM14AaABAg,This doesn’t feel like a live performance… it feels like a cinematic experience. Bulgaria absolutely nailed it.,positive,,doesnt feel like live performance feels like cinematic experience bulgaria absolutely nailed
UgxbvxQDZO6QnC9c58V4AaABAg,"FINALLY! BALKANS WIN! Finally win a country without money and budget!!! Clear winner, congratulations to Bulgaria!",positive,,finally balkans win finally win country without money budget clear winner congratulations bulgaria
UgwuuzyI56FwZB1EHiR4AaABAg,Ive never cheered this much for Bulgaria to win anything.,positive,,ive never cheered much bulgaria win anything
UgyZ7xDeYv7iGqB82wR4AaABAg,"Hi dear people! 2 months after our diva DARA won Eurovision 🏆!!!! This was a crazy moment for my country Bulgaria 🇧🇬 and for me of course, because i'm a very big fan of Eurovision since 10 years!!! For the first time Bulgaria won something big competition in the World 🌎!!! I use this comment to say thank you to everyone for congrats my country and our queen winning Eurovision!!!  I love you all here!!!!❤❤❤ I invite everyone to come in Bulgaria 🇧🇬 for next year!!! I hope we Bulgarians to make best Eurovision ever!!!! Welcome all to Bulgaria 🇧🇬!!! Best wishes from me,Andi!!!❤❤❤",positive,,hi dear people 2 months diva dara eurovision crazy moment country bulgaria course im big fan eurovision since 10 years first time bulgaria something big competition world use comment say thank everyone congrats country queen winning eurovision love invite everyone come bulgaria next year hope bulgarians make best eurovision ever welcome bulgaria best wishes meandi
UgwjreByLjWvzaQ87uN4AaABAg,"That performance was incredible. It felt like watching a complete, professionally produced video song live.",positive,,performance incredible felt like watching complete professionally produced video song live
Ugx4YnLjl4El8WB-TtJ4AaABAg,"When you think of it, she might be the one that relied the least on this huge stage. She shrank it down to a ""room"", like a random waiting room in a office building, worked in it, and just at the very end, she used a bit of the entire stage. She actually played with the camera and engaged directly with the audience, pulling us in that ""room"" and her song. Really, it gave a mid 00's MTV video feel, in the best way possible. Bravo Dara, congrats!",positive,,think might one relied least huge stage shrank room like random waiting room office building worked end used bit entire stage actually played camera engaged directly audience pulling us room song really gave mid 00s mtv video feel best way possible bravo dara congrats
UgwfMqIVd6z622IUQqF4AaABAg,The fact that they were able to create a music video feel during a live performance is mind blowing.,positive,,fact able create music video feel live performance mind blowing
Ugwcj6yJS1AznKrwuUx4AaABAg,This is a masterclass in how to win the Eurovision,positive,,masterclass win eurovision
