id,text,ai_opinion,Alex,Panagiotis,Athina,Final Opinion,Topic
UgzWVRZ_47oUAr11vk54AaABAg,The most deserved win at the whole tournament. Absolute domination,positive,positive,positive,positive,positive,Mundial
Ugzyu5tQ4xFCLNnQk_Z4AaABAg,Spain had more goals disallowed than Argentina even attempted ,neutral,positive,negative,negative,negative,Mundial
Ugw14A8gvyoh7uu-MLB4AaABAg,That goalkeeper contributed more than the whole team.,neutral,positive,negative,positive,positive,Mundial
Ugyj66MjgsSwGj2H9PB4AaABAg,"Fun fact: Argentina had no shots on goal for the entire 120 minutes, implying that Spain could have won even without the goalkeeper",positive,negative,negative,negative,negative,Mundial
UgyQEErcOLPdwEGxXrx4AaABAg,"Argentina did not deserve to play in the World Cup final because they relied on excessive physicality, dirty play, and gamesmanship rather than fair competition.",negative,negative,negative,negative,negative,Mundial
UgyOrqXa36oB98MHBCp4AaABAg,Spain overwhelmed Argentina in both performance and manners.,positive,positive,neutral,negative,positive,Mundial
UgweWBuU-mK920tSADR4AaABAg,"Not a single attack of Argentina in highlights!

This shows the absolute dominance of Spain. Well deserved 🎉",positive,positive,negative,positive,positive,Mundial
Ugxy8J51BiBiYZ581rp4AaABAg,"As Turks, we were rooting for Spain and praying for their success. We are ecstatic that Spain won this match. Congratulations, Spain! You truly earned it",positive,positive,positive,positive,positive,Mundial
UgxE4HZnM-0LvqYKjLh4AaABAg,The game was basically Spain vs Martinez ft. Argentina,neutral,positive,negative,neutral,neutral,Mundial
Ugzop-1EPlPCFEMS6vR4AaABAg,Argentina played a really dirty game. Congratulations to Spain on winning the title!,positive,positive,neutral,positive,positive,Mundial
Ugw0hjaQLFz8nZON-NN4AaABAg,Argentina had a messi. Spain had a team.,neutral,positive,neutral,positive,neutral,Mundial
UgwRVgOt3Zrbfhdolyx4AaABAg,Argentina has to be one of the most hated teams in football history 😂,negative,negative,negative,negative,negative,Mundial
UgzRkj78yI_5bez_9HR4AaABAg,Argentina becomes the first team to have more fights than shots on target 🏆,negative,negative,negative,negative,negative,Mundial
UgzAWc8P_XbJ9flDHZ94AaABAg,"As a football fan, never rooted for Spain this hard in my life. Thank you for saving football.",positive,positive,positive,positive,positive,Mundial
UgyNDBbsnjQNOntqDvl4AaABAg,This result is a justice for Egypt. Congratulations Spain 🎉,positive,positive,positive,positive,positive,Mundial
UgyasPaWbOOUvsuwexN4AaABAg,It would be unfair for Argentina to win with such a rough and unforgiving game. Spain trained and won. Spain played football. Congratulations from Uzbekistan,positive,positive,negative,positive,positive,Mundial
Ugy-Zp8Y2AzqCTn_Z_J4AaABAg,Argentina would have lost 4-0 if it weren’t for Martinez,negative,negative,neutral,positive,negative,Mundial
Ugzj_3cfO9wISF2ec2F4AaABAg,"*I’ve never been so satisfied in a long time, thank you Spain for saving footbal.*",positive,positive,positive,positive,positive,Mundial
UgyE2QkwnaOC79qrzAl4AaABAg,Love from Pakistan.. Congratulations Spain,positive,positive,positive,positive,positive,Mundial
UgzGsDAQBlvQaMrTRUt4AaABAg,Argentina had more red cards than attempts at goal in the whole 90 minutes of duration.,neutral,negative,negative,negative,negative,Mundial
UgwMUS0VIyPbDS1V2i54AaABAg,"As Tony Kroos said: ""Football won.""",positive,positive,positive,positive,positive,Mundial
Ugx_-cjfLAZ7gzARLw14AaABAg,"*_""Football Won""_*

*- Toni Kroos* 🇩🇪🤝🇪🇸",positive,positive,positive,positive,positive,Mundial
Ugx2q5zLy0xyc-8qWyp4AaABAg,"Fun fact, Spain only conceded a single goal throughout this entire tournament. Well deserved win",positive,positive,negative,positive,positive,Mundial
UgzzREbDVeEJO9xEshl4AaABAg,Was Argentina aware that they could shoot to score instead of shooting to foul? Football won today!,positive,negative,negative,negative,negative,Mundial
UgwgRZmdltp5zOj4qVt4AaABAg,Thank you Spain for saving the art of football,positive,positive,positive,positive,positive,Mundial
